,val_id,train_id,name,description,resnet_id,resnet_desc,resnet_class
133,134,n02100236,German short-haired pointer,liver or liver-and-white hunting dog developed in Germany; 3/4 pointer and 1/4 bloodhound,n02100236,German_short-haired_pointer,211
134,135,n02486261,"patas, hussar monkey, Erythrocebus patas",reddish long-tailed monkey of west Africa,n02486261,patas,372
135,136,n02115913,"dhole, Cuon alpinus",fierce wild dog of the forests of central and southeast Asia that hunts in packs,n02115913,dhole,275
136,137,n02486410,baboon,large terrestrial monkeys having doglike muzzles,n02486410,baboon,373
137,138,n02487347,macaque,short-tailed monkey of rocky regions of Asia and Africa,n02487347,macaque,374
138,139,n02099849,Chesapeake Bay retriever,American breed having a short thick oily coat ranging from brown to light tan,n02099849,Chesapeake_Bay_retriever,210
139,140,n02108422,bull mastiff,large powerful breed developed by crossing the bulldog and the mastiff,n02108422,bull_mastiff,244
140,141,n02104029,kuvasz,long-established Hungarian breed of tall light-footed but sturdy white dog; used also as a hunting dog,n02104029,kuvasz,223
141,142,n02492035,"capuchin, ringtail, Cebus capucinus",monkey of Central America and South America having thick hair on the head that resembles a monk's cowl,n02492035,capuchin,379
142,143,n02110958,"pug, pug-dog",small compact smooth-coated breed of Asiatic origin having a tightly curled tail and broad flat wrinkled muzzle,n02110958,pug,255
143,144,n02099429,curly-coated retriever,an English breed having a tightly curled black or liver-colored coat; retrieves game from land or water,n02099429,curly-coated_retriever,207
144,145,n02094258,Norwich terrier,English breed of small short-legged terrier with a straight wiry red or grey or black-and-tan coat and erect ears,n02094258,Norwich_terrier,187
145,146,n02099267,flat-coated retriever,an English breed having a shiny black or liver-colored coat; retrieves game from land or water,n02099267,flat-coated_retriever,206
146,147,n02395406,"hog, pig, grunter, squealer, Sus scrofa",domestic swine,n02395406,hog,342
147,148,n02112350,keeshond,a spitz-like dog having a shaggy greyish coat and tightly curled tail originating in Holland,n02112350,keeshond,262
148,149,n02109961,"Eskimo dog, husky",breed of heavy-coated Arctic sled dog,n02109961,Eskimo_dog,249
149,150,n02101388,Brittany spaniel,tall active short-tailed French breed of bird dog having a usually smooth orange- or liver-and-white coat,n02101388,Brittany_spaniel,216
150,151,n02113799,standard poodle,a breed or medium-sized poodles,n02113799,standard_poodle,268
151,152,n02095570,Lakeland terrier,breed of wire-haired terrier originally from the Lake District of England and used for hunting,n02095570,Lakeland_terrier,190
152,153,n02128757,"snow leopard, ounce, Panthera uncia",large feline of upland central Asia having long thick whitish fur,n02128757,snow_leopard,290
153,154,n02101006,Gordon setter,a Scottish breed with a black-and-tan coat,n02101006,Gordon_setter,215
154,155,n02115641,"dingo, warrigal, warragal, Canis dingo",wolflike yellowish-brown wild dog of Australia,n02115641,dingo,274
155,156,n02097209,standard schnauzer,a medium-sized schnauzer,n02097209,standard_schnauzer,199
156,157,n02342885,hamster,short-tailed Old World burrowing rodent with large cheek pouches,n02342885,hamster,334
157,158,n02097474,"Tibetan terrier, chrysanthemum dog",breed of medium-sized terriers bred in Tibet resembling Old English sheepdogs with fluffy curled tails,n02097474,Tibetan_terrier,201
158,159,n02120079,"Arctic fox, white fox, Alopex lagopus",thickly-furred fox of Arctic regions; brownish in summer and white in winter,n02120079,Arctic_fox,280
159,160,n02095314,wire-haired fox terrier,a fox terrier with wiry hair,n02095314,wire-haired_fox_terrier,189
160,161,n02088238,"basset, basset hound",smooth-haired breed of hound with short legs and long ears,n02088238,basset,162
161,162,n02408429,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",an Asian buffalo that is often domesticated for use as a draft animal,n02408429,water_buffalo,347
162,163,n02133161,"American black bear, black bear, Ursus americanus, Euarctos americanus",brown to black North American bear; smaller and less ferocious than the brown bear,n02133161,American_black_bear,296
163,164,n02328150,"Angora, Angora rabbit",domestic breed of rabbit with long white silky hair,n02328150,Angora,333
164,165,n02410509,bison,any of several large humped bovids having shaggy manes and large heads and short horns,n02410509,bison,348
165,166,n02492660,"howler monkey, howler",monkey of tropical South American forests having a loud howling cry,n02492660,howler_monkey,380
166,167,n02398521,"hippopotamus, hippo, river horse, Hippopotamus amphibius",massive thick-skinned herbivorous animal living in or around rivers of tropical Africa,n02398521,hippopotamus,345
167,168,n02112137,"chow, chow chow",breed of medium-sized dogs with a thick coat and fluffy curled tails and distinctive blue-black tongues; believed to have originated in northern China,n02112137,chow,261
168,169,n02510455,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae,n02510455,giant_panda,389
169,170,n02093428,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",American breed of muscular terriers with a short close-lying stiff coat,n02093428,American_Staffordshire_terrier,181
170,171,n02105855,"Shetland sheepdog, Shetland sheep dog, Shetland",a small sheepdog resembling a collie that was developed in the Shetland Islands,n02105855,Shetland_sheepdog,231
171,172,n02111500,Great Pyrenees,bred of large heavy-coated white dogs resembling the Newfoundland,n02111500,Great_Pyrenees,258
172,173,n02085620,Chihuahua,an old breed of tiny short-haired dog with protruding eyes from Mexico held to antedate Aztec civilization,n02085620,Chihuahua,152
173,174,n02123045,"tabby, tabby cat",a cat with a grey or tawny coat mottled with black,n02123045,tabby,282
174,175,n02490219,marmoset,small soft-furred South American and Central American monkey with claws instead of nails,n02490219,marmoset,378
175,176,n02099712,Labrador retriever,breed originally from Labrador having a short black or golden-brown coat,n02099712,Labrador_retriever,209
176,177,n02109525,"Saint Bernard, St Bernard",a Swiss alpine breed of large powerful dog with a thick coat of hair used as a rescue dog,n02109525,Saint_Bernard,248
177,178,n02454379,armadillo,burrowing chiefly nocturnal mammal with body covered with strong horny plates,n02454379,armadillo,364
178,179,n02111889,"Samoyed, Samoyede",Siberian breed of white or cream-colored dog of the spitz family,n02111889,Samoyed,259
179,180,n02088632,bluetick,a very fast American hound; white mottled with bluish grey,n02088632,bluetick,165
180,181,n02090379,redbone,a speedy red or red-and-tan American hound,n02090379,redbone,169
181,182,n02443114,"polecat, fitch, foulmart, foumart, Mustela putorius",dark brown mustelid of woodlands of Eurasia that gives off an unpleasant odor when threatened,n02443114,polecat,359
182,183,n02361337,marmot,stocky coarse-furred burrowing rodent with a short bushy tail found throughout the northern hemisphere; hibernates in winter,n02361337,marmot,337
183,184,n02105412,kelpie,an Australian sheepdog with pointed ears,n02105412,kelpie,228
184,185,n02483362,"gibbon, Hylobates lar",smallest and most perfectly anthropoid arboreal ape having long arms and no tail; of southern Asia and East Indies,n02483362,gibbon,369
185,186,n02437616,llama,wild or domesticated South American cud-chewing animal related to camels but smaller and lacking a hump,n02437616,llama,356
186,187,n02107312,miniature pinscher,small German version of a Doberman pinscher,n02107312,miniature_pinscher,238
187,188,n02325366,"wood rabbit, cottontail, cottontail rabbit",common small rabbit of North America having greyish or brownish fur and a tail with a white underside; a host for Ixodes pacificus and Ixodes scapularis (Lyme disease ticks),n02325366,wood_rabbit,331
188,189,n02091032,Italian greyhound,a toy dog developed from the greyhound,n02091032,Italian_greyhound,172
189,190,n02129165,"lion, king of beasts, Panthera leo",large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male,n02129165,lion,292
190,191,n02102318,"cocker spaniel, English cocker spaniel, cocker",a small breed with wavy silky hair; originally developed in England,n02102318,cocker_spaniel,220
191,192,n02100877,"Irish setter, red setter",an Irish breed with a chestnut-brown or mahogany-red coat,n02100877,Irish_setter,214
192,193,n02074367,"dugong, Dugong dugon",sirenian tusked mammal found from eastern Africa to Australia; the flat tail is bilobate,n02074367,dugong,150
193,194,n02504013,"Indian elephant, Elephas maximus",Asian elephant having smaller ears and tusks primarily in the male,n02504013,Indian_elephant,386
194,195,n02363005,beaver,large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges,n02363005,beaver,338
195,196,n02102480,Sussex spaniel,an English breed with short legs and a golden liver-colored coat,n02102480,Sussex_spaniel,221
196,197,n02113023,"Pembroke, Pembroke Welsh corgi",the smaller and straight-legged variety of corgi having pointed ears and a short tail,n02113023,Pembroke,264
197,198,n02086646,Blenheim spaniel,red-and-white variety of English toy spaniel,n02086646,Blenheim_spaniel,157
198,199,n02497673,"Madagascar cat, ring-tailed lemur, Lemur catta",small lemur having its tail barred with black,n02497673,Madagascar_cat,384
199,200,n02087394,Rhodesian ridgeback,a powerful short-haired African hunting dog having a crest of reversed hair along the spine,n02087394,Rhodesian_ridgeback,160
200,201,n02127052,"lynx, catamount",short-tailed wildcats with usually tufted ears; valued for their fur,n02127052,lynx,288
201,202,n02116738,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",a powerful doglike mammal of southern and eastern Africa that hunts in large packs; now rare in settled area,n02116738,African_hunting_dog,276
202,203,n02488291,langur,slender long-tailed monkey of Asia,n02488291,langur,375
203,204,n02091244,"Ibizan hound, Ibizan Podenco",breed of slender agile medium-sized hound found chiefly in the Balearic Islands; said to have been bred originally by the Pharaohs of ancient Egypt,n02091244,Ibizan_hound,174
204,205,n02114367,"timber wolf, grey wolf, gray wolf, Canis lupus",a wolf with a brindled grey coat living in forested northern regions of North America,n02114367,timber_wolf,270
205,206,n02130308,"cheetah, chetah, Acinonyx jubatus",long-legged spotted cat of Africa and southwestern Asia having nonretractile claws; the swiftest mammal; can be trained to run down game,n02130308,cheetah,294
206,207,n02089973,English foxhound,an English breed slightly larger than the American foxhounds originally used to hunt in packs,n02089973,English_foxhound,168
207,208,n02105251,briard,old French breed of large strong usually black dogs having a long tail and long wavy and slightly stiff coat,n02105251,briard,227
208,209,n02134418,"sloth bear, Melursus ursinus, Ursus ursinus",common coarse-haired long-snouted bear of south-central Asia,n02134418,sloth_bear,298
209,210,n02093754,Border terrier,small rough-coated terrier of British origin,n02093754,Border_terrier,183
210,211,n02106662,"German shepherd, German shepherd dog, German police dog, alsatian",breed of large shepherd dogs used in police work and as a guide for the blind,n02106662,German_shepherd,236
211,212,n02444819,otter,freshwater carnivorous mammal having webbed and clawed feet and dark brown fur,n02444819,otter,361
212,213,n01882714,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",sluggish tailless Australian arboreal marsupial with grey furry ears and coat; feeds on eucalyptus leaves and bark,n01882714,koala,106
213,214,n01871265,tusker,any mammal with prominent tusks (especially an elephant or wild boar),n01871265,tusker,102
214,215,n01872401,"echidna, spiny anteater, anteater",a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to Australia,n01872401,echidna,103
215,216,n01877812,"wallaby, brush kangaroo",any of various small or medium-sized kangaroos; often brightly colored,n01877812,wallaby,105
216,217,n01873310,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",small densely furred aquatic monotreme of Australia and Tasmania having a broad bill and tail and webbed feet; only species in the family Ornithorhynchidae,n01873310,platypus,104
217,218,n01883070,wombat,burrowing herbivorous Australian marsupials about the size of a badger,n01883070,wombat,107
218,219,n04086273,"revolver, six-gun, six-shooter",a pistol with a revolving cylinder (usually having six chambers for bullets),n04086273,revolver,764
219,220,n04507155,umbrella,a lightweight handheld collapsible canopy,n04507155,umbrella,880
220,221,n04147183,schooner,sailing vessel used in former times,n04147183,schooner,781
221,222,n04254680,soccer ball,an inflated ball used in playing soccer,n04254680,soccer_ball,806
222,223,n02672831,"accordion, piano accordion, squeeze box",a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player,n02672831,accordion,402
